Time_min,D16_micron,D50_micron,D84_micron
261,55.6416,83.5506,116.517
262,57.0588,87.0922,121.28
263,55.9571,84.9409,123.31
264,55.5792,83.2684,117.583
265,57.4242,86.4795,123.366
266,57.1575,86.7927,121.558
267,56.4523,86.6255,124.953
268,56.5503,85.1499,118.937
269,57.0866,85.1327,118.627
270,57.5333,87.2256,123.309
272.5,56.7587,87.6368,120.416
277.5,56.7029,85.5675,124.751
282.5,56.368,83.5341,116.543
287.5,55.6555,84.1809,119.349
292.5,55.4293,84.4489,118.017
297.5,56.9557,85.847,120.01
302.5,57.6281,84.992,118.583
307.5,58.5456,86.1633,120.709
312.5,57.9046,85.361,118.482
317.5,59.6783,86.9287,120.718
322.5,56.2468,84.9291,115.521
327.5,57.1793,86.415,124.966
332.5,59.6632,88.3186,124.264
337.5,58.0888,87.2637,122.379
342.5,57.9956,85.7319,122.1
347.5,58.1958,86.6257,120.291
352.5,59.5306,87.7124,125.305
357.5,57.4688,87.3797,121.954
362.5,58.2016,86.8541,121.224
367.5,58.7387,85.1896,116.881
372.5,60.4115,87.8054,122.183
377.5,59.2047,86.8188,123.627
382.5,56.5493,87.3317,120.633
387.5,58.2871,86.5184,118.258
392.5,59.406,87.5155,125.286
397.5,60.4067,89.967,125.373
402.5,59.8486,88.8392,124.05
407.5,60.5986,88.4129,124.362
412.5,57.7777,86.5071,126.188
417.5,61.0292,90.2719,126.163
422.5,59.9835,86.976,120.884
427.5,59.3838,88.5429,125.17
432.5,60.3181,89.3185,126.462
437.5,58.5392,86.7241,123.078
442.5,59.6206,89.7886,128.517
447.5,60.69,90.8686,124.536
542.5,60.813,90.2946,126.932
547.5,61.6689,90.4664,124.073
552.5,61.2475,88.8081,123.261
557.5,60.2586,90.7184,131.213
562.5,60.9644,89.9994,126.913
567.5,62.0846,90.7953,126.938
572.5,61.823,90.5076,127.936
577.5,62.9016,90.4699,124
582.5,61.1678,89.2935,124.679
587.5,62.2263,89.8128,125.502
592.5,60.6459,89.346,125.503
597.5,62.3926,91.6935,129.542
602.5,59.6398,88.2767,126.558
607.5,60.8279,91.4547,126.166
612.5,62.5197,89.485,129.94
617.5,63.3543,91.5377,127.461
622.5,58.8886,88.8247,125.506
627.5,62.0625,91.1159,131.575
632.5,61.5976,88.9286,128.2
637.5,62.933,90.1088,123.928
642.5,61.5398,90.0376,127.084
647.5,60.727,87.4996,122.839
652.5,62.1769,91.257,127.274
657.5,62.3045,91.6496,123.769
662.5,61.4018,88.7888,123.957
667.5,61.9374,92.9347,129.094
672.5,63.159,90.5157,124.485
677.5,59.7813,89.5834,124.123
682.5,59.6144,88.5058,125.765
687.5,60.2694,88.6548,126.002
692.5,61.3278,89.0218,126.615
697.5,59.1194,88.3322,124.815
702.5,60.7979,90.1408,128.259
707.5,61.1412,89.3828,126.033
712.5,60.1109,89.1332,124.716
717.5,60.7728,89.261,122.58
722.5,59.5793,89.0339,124.325
727.5,60.5002,86.8615,124.46
732.5,62.0479,90.1656,124.62
737.5,59.2994,88.046,124.384
742.5,60.3454,89.0523,124.371
747.5,62.4594,87.6437,120.949
752.5,62.2055,87.4086,127.187
757.5,62.6012,89.8373,127.172
762.5,60.9109,88.6301,125.712
767.5,62.0283,89.0485,126.964
772.5,60.222,88.3744,125.781
777.5,59.5188,87.7037,122.382
782.5,61.5659,89.6654,124.743
787.5,60.577,89.0831,128.268
792.5,61.8662,89.538,123.719
797.5,60.4098,89.7716,127.197
802.5,60.9038,89.4614,122.827
807.5,61.0603,88.9529,125.547
812.5,63.0962,91.9483,129.487
817.5,63.0703,88.5596,123.978
822.5,61.8643,87.5919,126.359
827.5,59.8552,88.7321,121.957
832.5,62.5781,90.2914,126.583
837.5,60.915,87.5536,120.685
842.5,61.81,90.8227,127.845
847.5,63.0114,90.2535,124.141
852.5,62.1429,90.5164,125.199
857.5,60.159,88.4514,123.506
862.5,62.0191,88.947,128.823
867.5,61.6133,89.4539,123.983
872.5,61.5147,91.2631,127.64
877.5,61.6227,88.7328,124.348
882.5,60.983,88.7315,124.608
887.5,61.6847,87.6967,124.868
892.5,61.7857,90.1082,124.065
897.5,61.0116,89.3497,124.568
902.5,62.354,89.9437,122.81
907.5,62.1348,88.3176,121.409
912.5,62.7477,89.2731,127.046
917.5,61.8983,90.4637,122.193
922.5,59.8021,87.7124,122.796
927.5,61.4305,89.0234,122.74
932.5,62.1343,88.8164,124.265
937.5,59.3987,87.7111,119.68
942.5,61.4204,87.3673,121.701
947.5,61.0443,87.2862,122.455
952.5,59.743,87.7392,124.497
957.5,61.724,88.2606,124.965
962.5,59.4443,88.7574,128.595
967.5,59.3938,87.9228,122.24
972.5,60.6695,87.9295,126.586
977.5,61.66,88.9042,126.402
982.5,61.8486,89.5405,125.023
987.5,59.4387,87.2428,122.556
992.5,60.6239,88.0036,121.758
997.5,59.9975,89.1014,124.939
1002.5,60.1307,88.1691,124.351
1007.5,59.9302,88.6882,126.728
1012.5,59.679,87.9497,121.378
1017.5,59.7806,88.8717,124.272
1022.5,59.9945,87.2026,121.386
1027.5,59.4914,86.2424,125.428
1032.5,60.5643,88.0039,127.948
1037.5,61.0131,89.4852,123.697
1042.5,61.1164,87.6092,119.211
1047.5,61.2988,87.1028,123.101
1052.5,61.4755,89.5957,124.313
1057.5,62.0195,89.878,124.808
1062.5,58.4137,86.2556,120.125
1067.5,61.3443,85.7987,119.901
1072.5,59.4302,87.5485,121.217
1077.5,61.5005,90.3114,119.635
1082.5,60.1067,89.2722,127.586
1087.5,61.2982,88.3536,124.617
1092.5,60.8279,87.3956,121.178
1097.5,59.6206,87.0481,123.132
1102.5,60.6761,87.0276,119.129
1107.5,60.4345,87.8131,121.377
1112.5,60.745,88.9616,125.623
1117.5,60.7888,86.4872,124.382
1122.5,61.9904,88.4492,123.111
1127.5,59.5603,88.5123,124.977
1132.5,60.6249,86.805,121.771
1137.5,62.7273,88.7004,122.005
1142.5,61.8169,89.6685,123.706
1147.5,60.5175,87.1864,122.104
1152.5,61.4911,88.5907,127.865
1157.5,60.2914,85.7309,120.283
1162.5,60.2232,87.3565,123.327
1167.5,60.8426,89.8944,122.705
1172.5,59.3895,88.0809,119.806
1177.5,59.2733,86.6945,123.357
1182.5,60.0676,86.3982,120.087
1187.5,60.6774,87.3286,124.565
1192.5,60.0579,86.8949,122.596
1197.5,59.3766,86.1893,120.005
1202.5,61.7762,87.6681,120.277
1207.5,62.2911,90.2347,126.396
1212.5,61.8061,88.7689,123.024
1217.5,61.3601,88.2305,123.519
1222.5,61.2187,87.8415,123.325
1227.5,61.7185,88.5728,122.421
1232.5,60.934,87.4156,119.22
1237.5,62.6325,88.6421,123.712
