Time_min,D16_micron,D50_micron,D84_micron
952.5,70.9687,100.01,133.939
957.5,70.2442,99.6944,136.088
962.5,69.6615,98.2902,135.046
967.5,69.9282,100.009,136.93
972.5,71.5055,100.862,139.538
977.5,68.1956,100.848,140.091
982.5,67.9269,98.3277,137.623
987.5,69.6995,100.482,139.565
992.5,69.3717,98.597,135.335
997.5,70.7218,98.1837,134.579
1002.5,71.5613,102.08,138.631
1007.5,70.4281,101.686,140.729
1012.5,70.1932,98.4153,133.893
1017.5,70.4366,97.551,133.52
1022.5,70.0504,100.036,139.08
1027.5,70.8465,100.632,137.846
1032.5,69.1399,100.633,134.759
1037.5,71.0722,98.7901,135.889
1042.5,69.7046,97.1416,134.645
1047.5,70.4331,100.212,136.069
1052.5,70.2239,98.0565,134.675
1057.5,70.4972,99.3554,133.79
1062.5,67.8902,98.6061,136.579
1067.5,67.3598,95.9019,133.94
1072.5,68.1702,99.5993,139.123
1077.5,69.135,98.7148,137.645
1082.5,69.1687,96.7566,133.647
1087.5,68.6074,99.2264,135.643
1092.5,66.4821,95.8528,130.834
1097.5,69.7299,100.395,139.231
1102.5,69.6665,97.6655,136.629
1107.5,69.8198,97.4362,131.513
1112.5,68.3672,97.4279,135.192
1117.5,66.7749,97.781,136.068
1122.5,68.6894,96.9682,134.41
1127.5,69.6027,98.379,136.321
1132.5,68.1841,96.9397,131.058
1137.5,67.3618,96.2904,133.443
1142.5,66.7417,95.267,128.423
1147.5,67.8016,99.8282,135.723
1152.5,68.9246,99.0326,139.902
1157.5,68.792,97.9852,135.621
1162.5,69.365,98.5676,139.112
1167.5,68.1377,97.6816,134.748
1172.5,68.0789,96.4485,130.692
1177.5,67.2638,96.3447,135.326
1182.5,68.8475,97.5325,135.341
1187.5,67.4636,98.7701,137.502
1192.5,67.8134,96.281,137.528
1197.5,66.3377,95.1234,128.951
1202.5,68.288,99.5107,137.007
1207.5,69.2557,96.6446,129.505
1212.5,65.8338,95.849,134.581
1217.5,66.2999,93.5228,130.507
1222.5,70.0635,95.4237,130.982
1227.5,67.9066,97.119,132.938
1502.5,65.2624,95.315,132.012
1507.5,66.4953,95.0992,139.365
1512.5,66.8502,94.5097,131.615
1517.5,64.0156,92.3344,132.773
1522.5,64.5991,95.287,131.526
1527.5,67.9767,97.1361,131.705
1532.5,65.3987,95.2643,130.302
1537.5,65.7256,95.941,130.57
1542.5,65.906,93.8633,131.027
1547.5,64.6417,92.2903,132.318
1552.5,63.9737,93.0791,127.575
1557.5,66.2285,92.142,129.192
1682.5,65.3347,93.4281,127.747
1687.5,65.8536,92.4754,125.481
1692.5,66.7665,93.9688,127.572
1697.5,64.1692,92.8532,128.478
1702.5,65.242,93.9313,128.822
1707.5,64.6424,93.4499,126.081
1712.5,67.9587,96.3833,131.176
1717.5,65.4653,91.8942,125.15
1722.5,65.1158,92.1066,126.998
1727.5,64.8453,92.9719,129.511
1732.5,66.1235,95.2002,127.649
1737.5,67.4695,97.3914,134.853
1802.5,64.9433,92.9537,126.669
1807.5,65.9651,93.0604,129.536
1812.5,66.0194,94.3914,132.576
1817.5,64.1773,92.1233,130.394
1822.5,64.8773,92.5748,129.195
1827.5,65.9134,93.462,130.154
1832.5,65.0026,94.5824,130.865
1837.5,65.8069,92.7737,129.476
1842.5,66.1151,92.6824,128.115
1847.5,64.795,92.0919,127.22
1852.5,63.9979,91.8328,129.04
1857.5,64.0785,91.8275,129.497
1922.5,64.3881,93.1942,130.247
1927.5,65.232,92.5658,132.378
1932.5,67.3799,94.8444,130.846
1937.5,67.281,92.8883,125.371
1942.5,65.5213,93.3968,127.235
1947.5,64.8625,92.9374,128.671
1952.5,64.16,91.3956,125.89
1957.5,65.761,92.4058,129.236
1962.5,66.5265,94.2113,128.996
1967.5,65.5453,92.8666,127.364
1972.5,65.6956,93.369,130.254
1977.5,65.7005,91.0808,125.426
1982.5,65.6059,90.8716,126.514
1987.5,65.6553,94.8903,128.167
1992.5,65.1247,93.269,132.885
1997.5,64.3282,91.7452,127.801
